,Time,VNE atom7 t_q = linear flat,VNE atom7 t_q = 10,VNE atom6 t_q = linear flat,VNE atom6 t_q = 10,VNE atom5 t_q = linear flat,VNE atom5 t_q = 10,VNE atom4 t_q = linear flat,VNE atom4 t_q = 10,VNE atom3 t_q = linear flat,VNE atom3 t_q = 10,VNE atom2 t_q = linear flat,VNE atom2 t_q = 10
264,0.264,0.059134850955542634,0.24852458584204917,0.08657229505870105,0.3811610010068707,0.10001157639069515,0.6222138173195335,0.10403869342355052,0.6450334336174812,0.1000115763906949,0.6486174087574728,0.08657229505870162,0.6201742888505104
265,0.265,0.059109296419273163,0.25141304273065307,0.08648688773061301,0.38599308016460454,0.10011078277116871,0.6239236675552744,0.10387619299741005,0.6455713985584557,0.10011078277116885,0.6482622173759647,0.08648688773061286,0.6200879488605902
266,0.266,0.05908968987801673,0.25395658502216495,0.08642993899007267,0.39071126314392157,0.10016433601228347,0.6257274104785002,0.10375510403254834,0.6463295989530946,0.10016433601228389,0.6480077047915709,0.0864299389900722,0.6198321066595258
267,0.267,0.05907361315850408,0.2562092259547723,0.08640055762175586,0.3952914663991443,0.10017295111653428,0.6276617010326774,0.10368600604202208,0.6473182569351568,0.10017295111653382,0.6478836916353832,0.08640055762175614,0.6193993532413375
268,0.268,0.059058712479205126,0.2582391083112547,0.0863965577158163,0.39970897309650905,0.10013843499494941,0.6297495731412395,0.1036752406377101,0.6485305811542659,0.10013843499495022,0.6479140426366793,0.08639655771581672,0.6187760575200335
269,0.269,0.05904282948967767,0.26012637764129654,0.08641460955302166,0.40393923669767573,0.10006367513524057,0.6320020507498363,0.10372442147956545,0.6499458935397059,0.10006367513524074,0.6481149211936023,0.08641460955302238,0.6179460597587034
270,0.27,0.05902406982194055,0.26196042618966753,0.08645048765292931,0.40796008622746815,0.09995264898379905,0.6344204920074461,0.10383047814570917,0.6515337011413618,0.09995264898379931,0.6484935363730213,0.08645048765292947,0.616896040793256
271,0.271,0.05900081326223538,0.26383656735700417,0.08649939200603042,0.41175510173243457,0.09981041984488806,0.6369990402041616,0.10398621529425751,0.6532580666304116,0.09981041984488807,0.649047513619525,0.08649939200603088,0.615621456200764
272,0.272,0.05897167973914014,0.2658522423879618,0.08655630800980528,0.41531766400169423,0.0996430824525959,0.6397266198698257,0.10418128997856953,0.6550816500283396,0.099643082452597,0.6497649553824407,0.08655630800980531,0.6141318388931216
273,0.273,0.05893547227854725,0.26810290546701643,0.08661636502584741,0.41865499062306055,0.09945762642650899,0.6425880962420534,0.10440344771964999,0.6569689089856114,0.09945762642650971,0.6506251825868381,0.08661636502584806,0.6124544082777037
274,0.274,0.05889112083743736,0.2706777758695166,0.08667515352831047,0.4217913827677965,0.09926169785498551,0.6455644699873324,0.10463982348908846,0.6588881312523942,0.09926169785498608,0.6516000737461598,0.08667515352831053,0.6106352413951516
275,0.275,0.058837649144018386,0.27365568014317726,0.08672896640036161,0.4247699403764621,0.09906325656191232,0.6486322510055265,0.10487811312227119,0.6608121967536189,0.09906325656191314,0.652655856821815,0.08672896640036228,0.6087376949415887
276,0.276,0.05877418073956844,0.27710122673890597,0.08677494015337978,0.4276521580602045,0.09887014662283304,0.6517623869661225,0.10510745334118725,0.662718190158091,0.09887014662283301,0.6537551687508771,0.08677494015337943,0.6068382357719034
277,0.277,0.058699991415220865,0.28106155414848405,0.08681108520774322,0.4305150748454437,0.0986896171278139,0.6549192645961808,0.1053189079686358,0.6645861726333522,0.0986896171278141,0.6548591841095817,0.08681108520774339,0.6050202595495482
278,0.278,0.0586146047404881,0.285563868061905,0.08683620904817158,0.43344598828191006,0.09852784543344895,0.6580603243815931,0.10550553308733934,0.666397545561386,0.09852784543344961,0.6559296282181969,0.08683620904817196,0.6033667824017679
